date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2052-01-01,366384.95,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-02-01,382067.3,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-03-01,398420.89,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-04-01,415474.46,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-05-01,433257.97,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-06-01,451802.68,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-07-01,471141.14,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-08-01,491307.35,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-09-01,512336.74,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-10-01,534266.24,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-11-01,557134.39,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2052-12-01,580981.36,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-01-01,605849.05,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-02-01,631781.15,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-03-01,658823.22,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-04-01,687022.77,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-05-01,716429.35,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-06-01,747094.61,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-07-01,779072.43,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-08-01,812418.99,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-09-01,847192.89,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2053-10-01,883455.21,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
